"";"Unnamed: 0";"Position";"Name";"Salary";"GameInfo";"AvgPointsPerGame";"Team";"Opponent";"Projection";"Actual_fpts";"Consistency";"Unpredictability"
"0";"0";"PF/C";"DeMarcus Cousins";"10400";"NO@POR 12/02/2017 10:00PM ET";"55.048";"NO";"POR";"59.63";"50.0";"13.334240648953747";"20.994724000000005"
"1";"2";"PG";"Damian Lillard";"8900";"NO@POR 12/02/2017 10:00PM ET";"43.989";"POR";"NO";"44.75";"50.75";"10.402832041020572";"0.5791210000000042"
"2";"4";"C";"Jusuf Nurkic";"7000";"NO@POR 12/02/2017 10:00PM ET";"31.33";"POR";"NO";"34.8";"14.0";"12.619657546025069";"12.040899999999992"
"3";"5";"SG/SF";"Will Barton";"6800";"LAL@DEN 12/02/2017 09:00PM ET";"28.964";"DEN";"LAL";"38.6";"34.5";"10.876600507350226";"92.85249600000006"
"4";"6";"PG/SG";"CJ McCollum";"6700";"NO@POR 12/02/2017 10:00PM ET";"33.798";"POR";"NO";"31.72";"26.5";"8.137366881619744";"4.318084000000012"
"5";"7";"PG";"Lonzo Ball";"6600";"LAL@DEN 12/02/2017 09:00PM ET";"33.024";"LAL";"DEN";"33.44";"29.75";"14.259756073469624";"0.17305599999999735"
"6";"9";"SG/SF";"Brandon Ingram";"6300";"LAL@DEN 12/02/2017 09:00PM ET";"29.536";"LAL";"DEN";"29.13";"24.5";"10.137667153819828";"0.16483600000000193"
"7";"10";"PG/SG";"Jrue Holiday";"6000";"NO@POR 12/02/2017 10:00PM ET";"32.095";"NO";"POR";"36.97";"33.75";"9.598553893275033";"23.765625"
"8";"11";"SG";"Kentavious Caldwell-Pope";"5900";"LAL@DEN 12/02/2017 09:00PM ET";"28.618";"LAL";"DEN";"27.91";"13.0";"7.933199970043986";"0.5012639999999977"
"9";"12";"SG";"Gary Harris";"5800";"LAL@DEN 12/02/2017 09:00PM ET";"26.842";"DEN";"LAL";"30.82";"32.0";"6.170151704684702";"15.824484000000012"
"10";"13";"SF/PF";"Kyle Kuzma";"5600";"LAL@DEN 12/02/2017 09:00PM ET";"27.95";"LAL";"DEN";"21.15";"29.0";"8.397450706171076";"46.24000000000001"
"11";"14";"PF/C";"Julius Randle";"5100";"LAL@DEN 12/02/2017 09:00PM ET";"24.988000000000003";"LAL";"DEN";"25.52";"26.5";"7.705896959680707";"0.2830239999999962"
"12";"15";"C";"Brook Lopez";"5000";"LAL@DEN 12/02/2017 09:00PM ET";"25.929";"LAL";"DEN";"21.35";"27.75";"12.705546861612515";"20.967240999999973"
"13";"16";"PG/SG";"Jordan Clarkson";"4900";"LAL@DEN 12/02/2017 09:00PM ET";"24.679";"LAL";"DEN";"22.55";"21.75";"8.847596891825141";"4.53264099999999"
"14";"17";"PG/SG";"Jamal Murray";"4900";"LAL@DEN 12/02/2017 09:00PM ET";"21.929";"DEN";"LAL";"29.46";"44.5";"10.580898324656804";"56.715961000000036"
"15";"19";"PF/C";"Kenneth Faried";"4800";"LAL@DEN 12/02/2017 09:00PM ET";"12.444";"DEN";"LAL";"30.7";"27.25";"9.96027825199391";"333.281536"
"16";"20";"PG";"Rajon Rondo";"4600";"NO@POR 12/02/2017 10:00PM ET";"17.875";"NO";"POR";"28.08";"38.5";"7.783147239541402";"104.14202499999996"
"17";"21";"SF/PF";"Al-Farouq Aminu";"4300";"NO@POR 12/02/2017 10:00PM ET";"22.8";"POR";"NO";"16.39";"13.25";"10.160706439866416";"41.088100000000004"
"18";"22";"PF/C";"Noah Vonleh";"4100";"NO@POR 12/02/2017 10:00PM ET";"17.55";"POR";"NO";"17.06";"17.75";"9.567992180127154";"0.24010000000000195"
"19";"23";"SG/SF";"Evan Turner";"3900";"NO@POR 12/02/2017 10:00PM ET";"18.284";"POR";"NO";"19.14";"8.0";"8.168809019035375";"0.7327360000000028"
"20";"24";"PG";"Emmanuel Mudiay";"3900";"LAL@DEN 12/02/2017 09:00PM ET";"19.607";"DEN";"LAL";"16.85";"17.75";"11.118776595581737";"7.601048999999988"
"21";"25";"PF/C";"Mason Plumlee";"3800";"LAL@DEN 12/02/2017 09:00PM ET";"16.179000000000002";"DEN";"LAL";"29.3";"28.0";"6.812018406554833";"172.16064099999997"
"22";"26";"SF/PF";"Trey Lyles";"3700";"LAL@DEN 12/02/2017 09:00PM ET";"9.375";"DEN";"LAL";"21.79";"24.75";"7.636524498111457";"154.13222499999998"
