"";"Unnamed: 0";"Position";"Name";"Salary";"GameInfo";"AvgPointsPerGame";"Team";"Opponent";"Projection";"Actual_fpts";"Consistency";"Unpredictability"
"0";"0";"PG/SG";"James Harden";"11500";"LAC@HOU 12/22/2017 08:00PM ET";"57.075";"HOU";"LAC";"66.39";"73.0";"12.195127130579415";"86.76922499999996"
"1";"1";"PG";"Russell Westbrook";"11400";"ATL@OKC 12/22/2017 08:00PM ET";"54.76600000000001";"OKC";"ATL";"56.87";"67.75";"11.138088594721253";"4.426815999999937"
"2";"2";"SF/PF";"Giannis Antetokounmpo";"11300";"CHA@MIL 12/22/2017 08:00PM ET";"56.036";"MIL";"CHA";"55.68";"44.75";"7.916789214737768";"0.12673600000000118"
"3";"4";"C";"DeAndre Jordan";"7800";"LAC@HOU 12/22/2017 08:00PM ET";"34.85";"LAC";"HOU";"39.12";"47.0";"11.338135156344247";"18.232899999999965"
"4";"5";"C";"Dwight Howard";"7600";"CHA@MIL 12/22/2017 08:00PM ET";"36.097";"CHA";"MIL";"41.16";"5.25";"11.561698842166713";"25.63396899999995"
"5";"7";"SG/SF";"Khris Middleton";"7400";"CHA@MIL 12/22/2017 08:00PM ET";"36.422";"MIL";"CHA";"38.26";"38.75";"14.552593652890325";"3.3782440000000036"
"6";"9";"SF";"Paul George";"7100";"ATL@OKC 12/22/2017 08:00PM ET";"37.983";"OKC";"ATL";"38.46";"32.75";"13.155808314112091";"0.2275290000000037"
"7";"12";"PG";"Kemba Walker";"6800";"CHA@MIL 12/22/2017 08:00PM ET";"37.267";"CHA";"MIL";"33.44";"47.0";"11.18447454108748";"14.64592900000004"
"8";"13";"PG/SG";"Eric Bledsoe";"6700";"CHA@MIL 12/22/2017 08:00PM ET";"32.591";"MIL";"CHA";"33.18";"55.25";"11.918663744503634";"0.34692099999999837"
"9";"15";"C";"Steven Adams";"6500";"ATL@OKC 12/22/2017 08:00PM ET";"29.894";"OKC";"ATL";"32.54";"34.5";"9.775820511172787";"7.0013160000000045"
"10";"16";"SF/PF";"Harrison Barnes";"6400";"DAL@MIA 12/22/2017 08:00PM ET";"32.266";"DAL";"MIA";"30.11";"25.5";"7.8831411552555775";"4.648335999999995"
