"";"Unnamed: 0";"Position";"Name";"Salary";"GameInfo";"AvgPointsPerGame";"Team";"Opponent";"Projection";"Actual_fpts";"Consistency";"Unpredictability"
"0";"0";"SF/PF";"Giannis Antetokounmpo";"11100";"MIL@POR 11/30/2017 10:00PM ET";"55.236";"MIL";"POR";"54.92";"50.75";"7.916789214737768";"0.09985599999999709"
"1";"1";"PG";"Damian Lillard";"8500";"MIL@POR 11/30/2017 10:00PM ET";"44.381";"POR";"MIL";"44.37";"35.75";"10.402832041020572";"0.00012100000000006127"
"2";"5";"C";"DeAndre Jordan";"7100";"UTA@LAC 11/30/2017 10:30PM ET";"31.632";"LAC";"UTA";"31.77";"31.0";"11.338135156344247";"0.01904399999999948"
"3";"6";"PG/SG";"Donovan Mitchell";"6900";"UTA@LAC 11/30/2017 10:30PM ET";"27.238000000000003";"UTA";"LAC";"34.79";"36.5";"11.23003345123199";"57.03270399999994"
"4";"7";"PG/SG";"Eric Bledsoe";"6800";"MIL@POR 11/30/2017 10:00PM ET";"31.875";"MIL";"POR";"34.94";"37.75";"11.918663744503634";"9.394224999999986"
"5";"8";"PG/SG";"CJ McCollum";"6700";"MIL@POR 11/30/2017 10:00PM ET";"33.913000000000004";"POR";"MIL";"31.81";"31.5";"8.137366881619744";"4.422609000000022"
"6";"9";"C";"Jusuf Nurkic";"6700";"MIL@POR 11/30/2017 10:00PM ET";"30.595";"POR";"MIL";"32.85";"46.75";"12.619657546025069";"5.0850250000000115"
"7";"10";"PF/C";"Derrick Favors";"6600";"UTA@LAC 11/30/2017 10:30PM ET";"26.464";"UTA";"LAC";"31.66";"35.5";"10.445748001736852";"26.998416000000017"
"8";"11";"SG/SF";"Khris Middleton";"6500";"MIL@POR 11/30/2017 10:00PM ET";"34.895";"MIL";"POR";"32.0";"43.75";"14.552593652890325";"8.381025000000019"
"9";"13";"PG";"Ricky Rubio";"5700";"UTA@LAC 11/30/2017 10:30PM ET";"27.888";"UTA";"LAC";"29.66";"31.25";"11.235663379567196";"3.139983999999995"
"10";"15";"PG/SG";"Austin Rivers";"5500";"UTA@LAC 11/30/2017 10:30PM ET";"24.316";"LAC";"UTA";"31.05";"36.5";"7.94373597096924";"45.34675600000002"
"11";"16";"PG/SG";"Malcolm Brogdon";"5000";"MIL@POR 11/30/2017 10:00PM ET";"25.0";"MIL";"POR";"20.3";"16.75";"10.000735267086762";"22.089999999999993"
"12";"18";"SG/SF";"Joe Ingles";"4900";"UTA@LAC 11/30/2017 10:30PM ET";"24.369";"UTA";"LAC";"29.05";"24.0";"7.892065885898853";"21.91176100000001"
"13";"19";"C";"John Henson";"4700";"MIL@POR 11/30/2017 10:00PM ET";"20.986";"MIL";"POR";"25.23";"29.5";"10.888598664766414";"18.011536"
"14";"20";"SF/PF";"Al-Farouq Aminu";"4600";"MIL@POR 11/30/2017 10:00PM ET";"24.028";"POR";"MIL";"17.05";"11.75";"10.160706439866416";"48.69248399999997"
"15";"21";"SF/PF";"Wesley Johnson";"4400";"UTA@LAC 11/30/2017 10:30PM ET";"17.921";"LAC";"UTA";"24.67";"21.25";"9.714763712356989";"45.54900100000003"
"16";"22";"PF/C";"Noah Vonleh";"4000";"MIL@POR 11/30/2017 10:00PM ET";"18.018";"POR";"MIL";"17.97";"11.0";"9.567992180127154";"0.002304000000000175"
"17";"23";"SF/PF";"Jonas Jerebko";"4000";"UTA@LAC 11/30/2017 10:30PM ET";"12.797";"UTA";"LAC";"17.11";"21.5";"7.813839628735014";"18.60196899999999"
"18";"25";"SG/SF";"Evan Turner";"3900";"MIL@POR 11/30/2017 10:00PM ET";"18.238";"POR";"MIL";"16.14";"19.25";"8.168809019035375";"4.401603999999995"
"19";"26";"SG/SF";"Thabo Sefolosha";"3900";"UTA@LAC 11/30/2017 10:30PM ET";"17.425";"UTA";"LAC";"20.57";"20.5";"8.445906306213285";"9.891024999999997"
"20";"27";"SG/SF";"Tony Snell";"3800";"MIL@POR 11/30/2017 10:00PM ET";"17.645";"MIL";"POR";"18.37";"8.0";"6.5946013025708625";"0.525625000000002"
"21";"28";"PF/C";"Thon Maker";"3800";"MIL@POR 11/30/2017 10:00PM ET";"13.237";"MIL";"POR";"14.77";"6.5";"5.958067661703574";"2.3500889999999983"
"22";"29";"PG/SG";"Shabazz Napier";"3600";"MIL@POR 11/30/2017 10:00PM ET";"13.897";"POR";"MIL";"12.58";"10.25";"10.0507047845744";"1.7344890000000004"
"23";"31";"PG/SG";"Alec Burks";"3600";"UTA@LAC 11/30/2017 10:30PM ET";"13.875";"UTA";"LAC";"19.89";"53.25";"7.422307139619986";"36.18022500000001"
