;Unnamed: 0;Position;Name;Salary;GameInfo;AvgPointsPerGame;Team;Opponent;Projection;Actual_fpts;Consistency;Unpredictability
0;0;PF/C;LaMarcus Aldridge;8000;DAL@SA 12/16/2017 08:30PM ET;39.741;SA;DAL;36.7;43.5;8.77361058459164;9.24768099999998
1;1;PG;Kyrie Irving;7800;BOS@MEM 12/16/2017 09:00PM ET;38.616;BOS;MEM;38.7;32.0;8.936995190830961;0.007056000000000535
2;2;C;Marc Gasol;7500;BOS@MEM 12/16/2017 09:00PM ET;39.545;MEM;BOS;37.7;54.0;11.228390551898565;3.404024999999996
3;3;PG/SG;Tyreke Evans;7000;BOS@MEM 12/16/2017 09:00PM ET;33.259;MEM;BOS;33.6;41.75;8.791900512396795;0.11628100000000073
4;4;PF/C;Al Horford;6600;BOS@MEM 12/16/2017 09:00PM ET;35.139;BOS;MEM;32.3;33.75;6.4935865795927175;8.059921000000033
5;5;SF/PF;Harrison Barnes;6500;DAL@SA 12/16/2017 08:30PM ET;32.207;DAL;SA;30.5;21.25;7.8831411552555775;2.9138490000000026
6;7;SF/PF;Rudy Gay;5900;DAL@SA 12/16/2017 08:30PM ET;25.106;SA;DAL;27.0;16.5;8.42213648909442;3.5872359999999937
7;8;SF/PF;Jayson Tatum;5700;BOS@MEM 12/16/2017 09:00PM ET;26.575;BOS;MEM;24.1;40.75;8.434163802512911;6.12562499999999
8;9;SG/SF;Jaylen Brown;5600;BOS@MEM 12/16/2017 09:00PM ET;27.009;BOS;MEM;25.4;21.25;6.79850989865465;2.5888810000000055
9;10;PF/C;Pau Gasol;5500;DAL@SA 12/16/2017 08:30PM ET;28.306;SA;DAL;23.9;2.75;8.596629966657034;19.41283600000002
10;12;SG/SF;Marcus Smart;5100;BOS@MEM 12/16/2017 09:00PM ET;24.393;BOS;MEM;24.9;22.0;7.836528836833709;0.25704899999999786
11;14;PG/SG;Yogi Ferrell;4800;DAL@SA 12/16/2017 08:30PM ET;18.25;DAL;SA;20.8;43.75;7.206813296786373;6.502500000000004
12;15;SG/SF;Wesley Matthews;4700;DAL@SA 12/16/2017 08:30PM ET;23.052;DAL;SA;22.7;22.0;11.090566166555105;0.12390400000000022
13;17;PF/C;Dirk Nowitzki;4600;DAL@SA 12/16/2017 08:30PM ET;23.009;DAL;SA;22.3;27.5;8.205782620874906;0.5026809999999995
14;18;SF/PF;JaMychal Green;4500;BOS@MEM 12/16/2017 09:00PM ET;20.625;MEM;BOS;23.8;15.5;8.173527244650721;10.080625000000005
15;20;PG/SG;Terry Rozier;4400;BOS@MEM 12/16/2017 09:00PM ET;20.458;BOS;MEM;17.4;21.0;9.733043863927817;9.351363999999998
16;21;PG/SG;Andrew Harrison;4400;BOS@MEM 12/16/2017 09:00PM ET;14.284;MEM;BOS;19.3;9.0;3.857539238213783;25.160256
17;22;PG;Dejounte Murray;4400;DAL@SA 12/16/2017 08:30PM ET;17.25;SA;DAL;23.9;28.5;10.388488202549153;44.22249999999998
18;23;C;Aron Baynes;4100;BOS@MEM 12/16/2017 09:00PM ET;15.475;BOS;MEM;13.6;20.0;8.103038083982833;3.515625
19;24;SG/SF;Manu Ginobili;4100;DAL@SA 12/16/2017 08:30PM ET;15.946;SA;DAL;15.3;24.75;7.1401884895755146;0.41731599999999874
20;25;PG;Mario Chalmers;3900;BOS@MEM 12/16/2017 09:00PM ET;18.222;MEM;BOS;18.8;11.0;9.058089015249694;0.3340839999999993
21;27;SG;Brandon Paul;3900;DAL@SA 12/16/2017 08:30PM ET;8.433;SA;DAL;17.0;4.25;9.838166600481186;73.393489
22;28;PG/SG;Bryn Forbes;3900;DAL@SA 12/16/2017 08:30PM ET;11.148;SA;DAL;17.2;14.0;8.141075725638979;36.626704
23;29;SF/PF;Davis Bertans;3800;DAL@SA 12/16/2017 08:30PM ET;8.25;SA;DAL;12.5;25.75;6.282543478886763;18.0625
24;30;SG/SF;Dillon Brooks;3700;BOS@MEM 12/16/2017 09:00PM ET;15.786;MEM;BOS;14.3;18.75;8.546976312917174;2.2081959999999965
25;31;PF/C;Dwight Powell;3700;DAL@SA 12/16/2017 08:30PM ET;16.366;DAL;SA;16.1;13.25;6.083501206386383;0.07075599999999906
26;32;PG/SG;Devin Harris;3600;DAL@SA 12/16/2017 08:30PM ET;16.772000000000002;DAL;SA;17.3;4.75;6.72160286352482;0.27878399999999864
27;33;PF;Maxi Kleber;3600;DAL@SA 12/16/2017 08:30PM ET;11.793;DAL;SA;17.9;32.25;5.1314452904840335;37.29544899999999
28;34;PF/C;Daniel Theis;3500;BOS@MEM 12/16/2017 09:00PM ET;12.107;BOS;MEM;11.0;14.75;7.963917164824553;1.2254489999999985
29;36;SG/SF;Ben McLemore;3400;BOS@MEM 12/16/2017 09:00PM ET;12.882;MEM;BOS;12.3;2.0;2.4724674392386317;0.3387239999999988
30;37;PG;Shane Larkin;3400;BOS@MEM 12/16/2017 09:00PM ET;8.036;BOS;MEM;8.8;3.5;6.2545059514696835;0.5836960000000018
31;39;PF/C;Jarell Martin;3200;BOS@MEM 12/16/2017 09:00PM ET;10.75;MEM;BOS;7.5;23.0;7.177317666711493;10.5625
32;45;PF/C;Deyonta Davis;3000;BOS@MEM 12/16/2017 09:00PM ET;10.233;MEM;BOS;10.5;9.5;7.846746368491122;0.07128899999999971
