;Unnamed: 0;Position;Name;Salary;GameInfo;AvgPointsPerGame;Team;Opponent;Projection;Actual_fpts;Consistency;Unpredictability
0;2;PF/C;Blake Griffin;9000;LAL@LAC 11/27/2017 10:30PM ET;43.403;LAC;LAL;44.95;50.25;7.8848043025105525;2.393209000000013
1;3;PF/C;Draymond Green;7100;SAC@GS 11/27/2017 10:30PM ET;34.079;GS;SAC;39.45;34.0;7.8453854653175075;28.847641000000024
2;4;PG;Lonzo Ball;7100;LAL@LAC 11/27/2017 10:30PM ET;33.486999999999995;LAL;LAC;33.05;20.75;14.259756073469624;0.19096899999999792
3;5;SG;Klay Thompson;7000;SAC@GS 11/27/2017 10:30PM ET;33.313;GS;SAC;39.1;36.25;8.158896903639029;33.48936899999999
4;6;SF/PF;Kyle Kuzma;6800;LAL@LAC 11/27/2017 10:30PM ET;28.263;LAL;LAC;26.29;22.0;8.397450706171076;3.89272900000001
5;7;C;DeAndre Jordan;6700;LAL@LAC 11/27/2017 10:30PM ET;32.292;LAC;LAL;34.68;19.75;11.338135156344247;5.702543999999991
6;8;PG/SG;Lou Williams;6500;LAL@LAC 11/27/2017 10:30PM ET;28.792;LAC;LAL;39.66;0.0;11.989042178295193;118.1134239999999
7;9;SG/SF;Brandon Ingram;6100;LAL@LAC 11/27/2017 10:30PM ET;28.697;LAL;LAC;29.5;24.75;10.137667153819828;0.6448090000000013
8;11;C;Brook Lopez;5500;LAL@LAC 11/27/2017 10:30PM ET;27.421;LAL;LAC;24.53;11.75;12.705546861612515;8.35788099999999
9;12;PF/C;Zach Randolph;5400;SAC@GS 11/27/2017 10:30PM ET;25.265;SAC;GS;26.54;23.0;10.588713990404509;1.6256249999999963
10;13;SG;Kentavious Caldwell-Pope;5300;LAL@LAC 11/27/2017 10:30PM ET;27.412;LAL;LAC;24.64;46.0;7.933199970043986;7.683983999999992
11;14;PF/C;Julius Randle;5300;LAL@LAC 11/27/2017 10:30PM ET;25.184;LAL;LAC;22.59;16.75;7.705896959680707;6.7288360000000065
12;15;PF/C;Willie Cauley-Stein;5100;SAC@GS 11/27/2017 10:30PM ET;23.711;SAC;GS;26.37;43.0;10.431743475077623;7.070281000000013
13;17;PG/SG;Austin Rivers;4900;LAL@LAC 11/27/2017 10:30PM ET;23.5;LAC;LAL;25.61;39.0;7.94373597096924;4.452099999999998
14;18;PG/SG;Jordan Clarkson;4800;LAL@LAC 11/27/2017 10:30PM ET;23.329;LAL;LAC;22.97;34.0;8.847596891825141;0.12888100000000127
15;19;PG;De'Aaron Fox;4600;SAC@GS 11/27/2017 10:30PM ET;22.408;SAC;GS;24.54;20.0;6.8503212030382405;4.545423999999991
16;20;SG/SF;Buddy Hield;4500;SAC@GS 11/27/2017 10:30PM ET;22.985;SAC;GS;22.07;6.75;10.188638965562976;0.8372249999999984
17;21;SF/PF;Wesley Johnson;4400;LAL@LAC 11/27/2017 10:30PM ET;18.403;LAC;LAL;24.87;9.25;9.714763712356989;41.82208900000003
18;22;PG/SG;George Hill;4200;SAC@GS 11/27/2017 10:30PM ET;18.824;SAC;GS;18.55;21.5;8.395032013042;0.0750760000000005
19;24;SG/SF;Andre Iguodala;3900;SAC@GS 11/27/2017 10:30PM ET;17.278;GS;SAC;18.6;19.25;4.83284733864963;1.7476840000000071
20;25;SF/PF;Omri Casspi;3800;SAC@GS 11/27/2017 10:30PM ET;13.838;GS;SAC;25.51;16.0;8.375171018154397;136.23558400000005
21;26;SG/SF;Bogdan Bogdanovic;3700;SAC@GS 11/27/2017 10:30PM ET;17.578;SAC;GS;16.25;18.0;5.3259388843658355;1.7635839999999985
22;27;PF/C;David West;3500;SAC@GS 11/27/2017 10:30PM ET;15.632;GS;SAC;16.32;22.25;6.327501932181009;0.4733440000000008
23;28;PG/SG;Shaun Livingston;3500;SAC@GS 11/27/2017 10:30PM ET;11.597;GS;SAC;20.23;14.75;5.9574505722046425;74.52868900000001
24;29;PG/SG;Garrett Temple;3500;SAC@GS 11/27/2017 10:30PM ET;15.833;SAC;GS;19.39;25.75;6.587086296865477;12.652249000000003
25;30;C;Kosta Koufos;3400;SAC@GS 11/27/2017 10:30PM ET;17.25;SAC;GS;16.29;1.5;8.071002531987276;0.9216000000000016
26;31;PF/C;Skal Labissiere;3400;SAC@GS 11/27/2017 10:30PM ET;15.842;SAC;GS;11.4;18.5;7.873520468088179;19.731364000000003
27;33;SG;Nick Young;3300;SAC@GS 11/27/2017 10:30PM ET;11.342;GS;SAC;21.1;8.75;9.672414725271402;95.21856400000001
28;35;PF/C;Jordan Bell;3200;SAC@GS 11/27/2017 10:30PM ET;10.661;GS;SAC;13.66;12.25;8.885817969608144;8.994001000000003
29;36;SG/SF;Patrick McCaw;3200;SAC@GS 11/27/2017 10:30PM ET;7.1179999999999986;GS;SAC;14.62;40.25;5.51928437390211;56.28000400000001
30;37;C;Zaza Pachulia;3100;SAC@GS 11/27/2017 10:30PM ET;14.275;GS;SAC;20.1;13.75;5.9490158407659495;33.93062500000001
31;38;SG;Sindarius Thornwell;3100;LAL@LAC 11/27/2017 10:30PM ET;8.583;LAC;LAL;10.93;6.75;5.6258332716140815;5.508408999999998
32;40;C;JaVale McGee;3000;SAC@GS 11/27/2017 10:30PM ET;9.042;GS;SAC;10.05;10.0;5.682306128780503;1.0160640000000019
33;42;PG;Quinn Cook;3000;SAC@GS 11/27/2017 10:30PM ET;5.167000000000002;GS;SAC;4.17;0.0;8.131727983645296;0.9940090000000034
34;43;SF/PF;Kevon Looney;3000;SAC@GS 11/27/2017 10:30PM ET;11.212;GS;SAC;8.77;1.0;5.131370763167569;5.963364000000001
35;48;SG/SF;Corey Brewer;3000;LAL@LAC 11/27/2017 10:30PM ET;7.816;LAL;LAC;6.63;13.5;5.760161374851184;1.406596
36;49;C;Willie Reed;3000;LAL@LAC 11/27/2017 10:30PM ET;11.544;LAC;LAL;13.11;2.75;6.091297583438196;2.452355999999997
37;52;SF/PF;Sam Dekker;3000;LAL@LAC 11/27/2017 10:30PM ET;6.582999999999998;LAC;LAL;9.65;17.5;4.200708012013903;9.406489000000011
38;58;PG;Jawun Evans;3000;LAL@LAC 11/27/2017 10:30PM ET;8.091000000000001;LAC;LAL;12.02;8.5;5.40170427651395;15.437040999999988
