;Unnamed: 0;Position;Name;Salary;GameInfo;AvgPointsPerGame;Team;Opponent;Projection;Actual_fpts;Consistency;Unpredictability
0;0;C;Karl-Anthony Towns;9000;MIN@DEN 12/20/2017 09:00PM ET;43.355;MIN;DEN;47.3;48.5;11.22303786625388;15.563025000000001
1;1;SG;Jimmy Butler;8800;MIN@DEN 12/20/2017 09:00PM ET;38.5;MIN;DEN;40.8;36.5;9.690808258648108;5.289999999999987
2;2;PG;Damian Lillard;8500;SA@POR 12/20/2017 10:00PM ET;44.583;POR;SA;41.6;30.5;10.402832041020572;8.898288999999982
3;3;C;Nikola Jokic;8100;MIN@DEN 12/20/2017 09:00PM ET;39.239;DEN;MIN;42.9;35.5;14.651744302679838;13.40292100000001
4;4;PF/C;LaMarcus Aldridge;7800;SA@POR 12/20/2017 10:00PM ET;39.133;SA;POR;33.8;37.0;8.77361058459164;28.44088900000006
5;6;PG/SG;CJ McCollum;6400;SA@POR 12/20/2017 10:00PM ET;33.405;POR;SA;32.1;30.25;8.137366881619744;1.7030249999999993
6;7;C;Jusuf Nurkic;6400;SA@POR 12/20/2017 10:00PM ET;30.509;POR;SA;30.5;23.5;12.619657546025069;8.100000000000614e-05
7;9;SG/SF;Will Barton;6200;MIN@DEN 12/20/2017 09:00PM ET;30.784;DEN;MIN;30.4;24.25;10.876600507350226;0.14745600000000025
8;10;PG;Jeff Teague;6100;MIN@DEN 12/20/2017 09:00PM ET;31.083;MIN;DEN;30.9;36.5;11.222642844637829;0.033488999999999935
9;11;SF/PF;Andrew Wiggins;6000;MIN@DEN 12/20/2017 09:00PM ET;28.903;MIN;DEN;28.3;22.25;7.501874765683574;0.3636089999999976
10;12;PF/C;Taj Gibson;5900;MIN@DEN 12/20/2017 09:00PM ET;26.798;MIN;DEN;27.9;22.25;9.972297153931773;1.2144040000000007
11;13;PG/SG;Jamal Murray;5700;MIN@DEN 12/20/2017 09:00PM ET;24.35;DEN;MIN;30.9;45.0;10.580898324656804;42.90249999999996
12;14;SF/PF;Rudy Gay;5400;SA@POR 12/20/2017 10:00PM ET;24.345;SA;POR;25.7;10.75;8.42213648909442;1.8360250000000011
13;15;PF/C;Pau Gasol;5300;SA@POR 12/20/2017 10:00PM ET;26.967;SA;POR;20.2;52.75;8.596629966657034;45.79228899999999
14;16;PG/SF;Kyle Anderson;5200;SA@POR 12/20/2017 10:00PM ET;24.489;SA;POR;12.6;23.0;7.664807173428954;141.34832100000003
15;17;SG/SF;Danny Green;5000;SA@POR 12/20/2017 10:00PM ET;21.361;SA;POR;16.7;16.5;10.653714562861543;21.724921000000013
16;18;SF/PF;Trey Lyles;4800;MIN@DEN 12/20/2017 09:00PM ET;15.8;DEN;MIN;21.9;18.25;7.636524498111457;37.20999999999997
17;19;SF/PF;Al-Farouq Aminu;4600;SA@POR 12/20/2017 10:00PM ET;22.444000000000006;POR;SA;22.8;29.5;10.160706439866416;0.1267359999999961
18;20;SF/PF;Wilson Chandler;4600;MIN@DEN 12/20/2017 09:00PM ET;20.692;DEN;MIN;23.9;28.5;9.187687573115255;10.29126399999999
19;22;PG;Dejounte Murray;4100;SA@POR 12/20/2017 10:00PM ET;17.808;SA;POR;20.9;17.75;10.388488202549153;9.560463999999993
20;23;PF/C;Mason Plumlee;4100;MIN@DEN 12/20/2017 09:00PM ET;18.608;DEN;MIN;24.3;40.5;6.812018406554833;32.398864
21;24;SG/SF;Manu Ginobili;4000;SA@POR 12/20/2017 10:00PM ET;16.105999999999998;SA;POR;15.3;21.25;7.1401884895755146;0.6496359999999958
22;25;SG/SF;Evan Turner;3800;SA@POR 12/20/2017 10:00PM ET;17.65;POR;SA;19.3;18.25;8.168809019035375;2.7225000000000072
23;26;PF/C;Ed Davis;3800;SA@POR 12/20/2017 10:00PM ET;15.775;POR;SA;15.8;23.75;5.252255154743182;0.0006250000000000178
24;29;SG;Jamal Crawford;3700;MIN@DEN 12/20/2017 09:00PM ET;15.04;MIN;DEN;14.7;32.75;8.674258651775075;0.1155999999999999
25;30;PG/SG;Shabazz Napier;3500;SA@POR 12/20/2017 10:00PM ET;14.04;POR;SA;14.4;20.25;10.0507047845744;0.12960000000000088
26;31;PF/C;Gorgui Dieng;3500;MIN@DEN 12/20/2017 09:00PM ET;15.464;MIN;DEN;15.4;21.75;7.244641782643467;0.004096000000000008
27;33;SF/PF;Davis Bertans;3400;SA@POR 12/20/2017 10:00PM ET;9.596;SA;POR;10.4;2.75;6.282543478886763;0.6464160000000004
28;35;PG/SG;Bryn Forbes;3400;SA@POR 12/20/2017 10:00PM ET;11.45;SA;POR;15.7;6.5;8.141075725638979;18.0625
29;37;PF/C;Zach Collins;3400;SA@POR 12/20/2017 10:00PM ET;8.232000000000001;POR;SA;14.1;6.5;1.1537980759214326;34.43342399999998
30;40;SG/SF;Pat Connaughton;3300;SA@POR 12/20/2017 10:00PM ET;11.283;POR;SA;7.7;5.25;7.702485928171775;12.837888999999995
31;42;PG/SG;Tyus Jones;3300;MIN@DEN 12/20/2017 09:00PM ET;12.476;MIN;DEN;10.2;9.25;9.796145858663523;5.180176000000007
32;45;SG;Malik Beasley;3200;MIN@DEN 12/20/2017 09:00PM ET;7.385;DEN;MIN;11.6;4.5;4.05510915468502;17.766225
