"";"Unnamed: 0";"Position";"Name";"Salary";"GameInfo";"AvgPointsPerGame";"Team";"Opponent";"Projection";"Actual_fpts";"Consistency";"Unpredictability"
"0";"0";"SF/PF";"LeBron James";"11300";"MIA@CLE 11/28/2017 07:00PM ET";"55.974";"CLE";"MIA";"55.37";"58.0";"15.223901548636382";"0.36481599999999903"
"1";"1";"SF/PF";"Giannis Antetokounmpo";"11200";"MIL@SAC 11/28/2017 10:00PM ET";"55.118";"MIL";"SAC";"59.16";"57.25";"7.916789214737768";"16.337763999999954"
"2";"2";"C";"Karl-Anthony Towns";"9100";"WAS@MIN 11/28/2017 08:00PM ET";"42.35";"MIN";"WAS";"44.99";"43.75";"11.22303786625388";"6.969600000000003"
"3";"3";"C";"Nikola Jokic";"8700";"DEN@UTA 11/28/2017 10:00PM ET";"41.658";"DEN";"UTA";"46.36";"27.0";"14.651744302679838";"22.10880399999998"
"4";"4";"C";"Hassan Whiteside";"8500";"MIA@CLE 11/28/2017 07:00PM ET";"37.054";"MIA";"CLE";"31.45";"35.5";"13.422920470450682";"31.404816000000032"
"5";"6";"SG/SF";"Devin Booker";"8100";"PHO@CHI 11/28/2017 08:00PM ET";"35.938";"PHO";"CHI";"33.87";"54.0";"12.509996003196804";"4.27662400000002"
"6";"7";"SG";"Bradley Beal";"7900";"WAS@MIN 11/28/2017 08:00PM ET";"38.553";"WAS";"MIN";"43.28";"21.0";"10.087663996797312";"22.344529000000037"
"7";"8";"SG";"Jimmy Butler";"7600";"WAS@MIN 11/28/2017 08:00PM ET";"34.569";"MIN";"WAS";"38.55";"45.25";"9.690808258648108";"15.848360999999956"
"8";"10";"PG";"Goran Dragic";"7500";"MIA@CLE 11/28/2017 07:00PM ET";"33.039";"MIA";"CLE";"32.01";"17.5";"6.377729893660534";"1.058841000000007"
"9";"11";"SF/PF";"TJ Warren";"7300";"PHO@CHI 11/28/2017 08:00PM ET";"30.905";"PHO";"CHI";"35.66";"38.75";"13.005882368777455";"22.610024999999958"
"10";"12";"PF/C";"Kevin Love";"7200";"MIA@CLE 11/28/2017 07:00PM ET";"37.053";"CLE";"MIA";"34.28";"56.75";"11.952910776183007";"7.689528999999979"
"11";"13";"SF/PF";"Andrew Wiggins";"6900";"WAS@MIN 11/28/2017 08:00PM ET";"30.438";"MIN";"WAS";"28.88";"23.5";"7.501874765683574";"2.4273639999999994"
"13";"15";"PF";"Lauri Markkanen";"6700";"PHO@CHI 11/28/2017 08:00PM ET";"30.264";"CHI";"PHO";"31.35";"27.0";"8.941451261042289";"1.1793960000000046"
"14";"16";"SG/SF";"Khris Middleton";"6600";"MIL@SAC 11/28/2017 10:00PM ET";"35.611";"MIL";"SAC";"33.75";"22.0";"14.552593652890325";"3.463320999999989"
"15";"17";"PG/SG";"Eric Bledsoe";"6600";"MIL@SAC 11/28/2017 10:00PM ET";"30.932";"MIL";"SAC";"31.8";"42.25";"11.918663744503634";"0.7534240000000036"
"16";"19";"PG/SG";"Donovan Mitchell";"6500";"DEN@UTA 11/28/2017 10:00PM ET";"27.263";"UTA";"DEN";"33.4";"26.75";"11.23003345123199";"37.66276899999996"
"17";"20";"SG/SF";"Will Barton";"6300";"DEN@UTA 11/28/2017 10:00PM ET";"28.539";"DEN";"UTA";"32.87";"14.5";"10.876600507350226";"18.757560999999964"
"18";"21";"PF/C";"Derrick Favors";"6300";"DEN@UTA 11/28/2017 10:00PM ET";"25.275";"UTA";"DEN";"30.93";"50.25";"10.445748001736852";"31.979025000000014"
"19";"22";"SG/SF";"Dion Waiters";"6200";"MIA@CLE 11/28/2017 07:00PM ET";"25.971";"MIA";"CLE";"28.13";"32.25";"9.815063827666963";"4.661280999999995"
"20";"23";"PG/SG";"Kris Dunn";"6100";"PHO@CHI 11/28/2017 08:00PM ET";"25.5";"CHI";"PHO";"26.97";"48.5";"9.380319003924367";"2.1608999999999967"
"21";"24";"PF";"James Johnson";"5900";"MIA@CLE 11/28/2017 07:00PM ET";"27.889";"MIA";"CLE";"27.01";"25.75";"11.734814968841267";"0.7726409999999961"
"22";"25";"PF/C";"Taj Gibson";"5800";"WAS@MIN 11/28/2017 08:00PM ET";"25.863000000000003";"MIN";"WAS";"24.98";"32.25";"9.972297153931773";"0.7796890000000047"
"23";"27";"SG/SF";"Denzel Valentine";"5600";"PHO@CHI 11/28/2017 08:00PM ET";"24.389";"CHI";"PHO";"30.31";"24.5";"9.947287540418477";"35.058240999999995"
"24";"28";"SG/SF";"Justin Holiday";"5500";"PHO@CHI 11/28/2017 08:00PM ET";"26.544";"CHI";"PHO";"28.29";"49.25";"7.167218828478317";"3.0485159999999953"
"25";"29";"PF/C";"Zach Randolph";"5500";"MIL@SAC 11/28/2017 10:00PM ET";"25.265";"SAC";"MIL";"24.19";"18.75";"10.588713990404509";"1.1556249999999986"
"26";"30";"PG";"Ricky Rubio";"5400";"DEN@UTA 11/28/2017 10:00PM ET";"27.776";"UTA";"DEN";"29.68";"30.0";"11.235663379567196";"3.6252159999999995"
"27";"31";"PG/SG";"Dwyane Wade";"5300";"MIA@CLE 11/28/2017 07:00PM ET";"23.333";"CLE";"MIA";"25.34";"32.75";"12.319746092791428";"4.0280490000000055"
"28";"32";"SG";"Gary Harris";"5200";"DEN@UTA 11/28/2017 10:00PM ET";"26.147";"DEN";"UTA";"30.1";"26.25";"6.170151704684702";"15.626209000000024"
"29";"33";"PF";"Bobby Portis";"5200";"PHO@CHI 11/28/2017 08:00PM ET";"26.375";"CHI";"PHO";"24.15";"17.25";"9.237792244662982";"4.950625000000007"
"30";"34";"PG/SG";"Jamal Murray";"5100";"DEN@UTA 11/28/2017 10:00PM ET";"22.908";"DEN";"UTA";"24.09";"14.75";"10.580898324656804";"1.3971239999999967"
"31";"35";"PF/C";"Willie Cauley-Stein";"5100";"MIL@SAC 11/28/2017 10:00PM ET";"23.711";"SAC";"MIL";"28.69";"23.5";"10.431743475077623";"24.790441000000026"
"32";"36";"PG/SG";"Malcolm Brogdon";"5000";"MIL@SAC 11/28/2017 10:00PM ET";"24.971";"MIL";"SAC";"24.14";"25.5";"10.000735267086762";"0.6905609999999992"
"33";"37";"C";"Marcin Gortat";"5000";"WAS@MIN 11/28/2017 08:00PM ET";"26.263";"WAS";"MIN";"23.96";"19.25";"9.45033570986977";"5.303809000000004"
"34";"38";"C";"Robin Lopez";"4900";"PHO@CHI 11/28/2017 08:00PM ET";"24.222";"CHI";"PHO";"27.14";"24.25";"7.344410083670723";"8.514723999999996"
"35";"39";"SG/SF";"Joe Ingles";"4800";"DEN@UTA 11/28/2017 10:00PM ET";"24.688";"UTA";"DEN";"25.27";"18.0";"7.892065885898853";"0.33872400000000086"
"36";"42";"PG/SG";"Jerian Grant";"4700";"PHO@CHI 11/28/2017 08:00PM ET";"22.347";"CHI";"PHO";"21.76";"14.75";"9.721919929940947";"0.3445689999999997"
"37";"43";"C";"John Henson";"4700";"MIL@SAC 11/28/2017 10:00PM ET";"20.912";"MIL";"SAC";"23.35";"22.25";"10.888598664766414";"5.943844000000012"
"38";"44";"SF/PF";"Markieff Morris";"4700";"WAS@MIN 11/28/2017 08:00PM ET";"19.313";"WAS";"MIN";"24.32";"7.0";"6.193035861499445";"25.070049000000015"
"39";"45";"PG";"Mike James";"4600";"PHO@CHI 11/28/2017 08:00PM ET";"23.107";"PHO";"CHI";"20.21";"18.25";"9.351677338724805";"8.392608999999991"
"40";"47";"PG";"De'Aaron Fox";"4500";"MIL@SAC 11/28/2017 10:00PM ET";"22.408";"SAC";"MIL";"19.83";"7.25";"6.8503212030382405";"6.646084000000015"
"41";"48";"SG/SF";"Buddy Hield";"4500";"MIL@SAC 11/28/2017 10:00PM ET";"22.985";"SAC";"MIL";"20.12";"17.5";"10.188638965562976";"8.208224999999992"
"42";"49";"PG";"Tyler Ulis";"4400";"PHO@CHI 11/28/2017 08:00PM ET";"16.788";"PHO";"CHI";"20.53";"32.5";"7.523329942322923";"14.002564000000007"
"43";"50";"C";"Tyson Chandler";"4400";"PHO@CHI 11/28/2017 08:00PM ET";"21.734";"PHO";"CHI";"20.28";"12.25";"6.675495456019225";"2.114116000000002"
"44";"51";"SG/SF";"Josh Richardson";"4400";"MIA@CLE 11/28/2017 07:00PM ET";"18.5";"MIA";"CLE";"19.78";"23.0";"9.280946337108123";"1.638400000000003"
"45";"52";"PG/SG";"Tyus Jones";"4300";"WAS@MIN 11/28/2017 08:00PM ET";"11.55";"MIN";"WAS";"11.23";"30.5";"9.796145858663523";"0.10240000000000019"
"46";"53";"PG/SG";"Tyler Johnson";"4200";"MIA@CLE 11/28/2017 07:00PM ET";"20.028";"MIA";"CLE";"20.45";"6.25";"7.8674164647656335";"0.1780840000000005"
"47";"54";"PG";"Emmanuel Mudiay";"4100";"DEN@UTA 11/28/2017 10:00PM ET";"19.895";"DEN";"UTA";"17.39";"15.75";"11.118776595581737";"6.275024999999995"
"48";"55";"PF/C";"Kelly Olynyk";"4100";"MIA@CLE 11/28/2017 07:00PM ET";"20.066";"MIA";"CLE";"17.28";"8.75";"9.184910075739186";"7.761795999999988"
"49";"56";"SF/PF";"Jae Crowder";"4100";"MIA@CLE 11/28/2017 07:00PM ET";"16.855";"CLE";"MIA";"17.45";"1.5";"7.383030368818793";"0.35402499999999865"
