"";"Unnamed: 0";"Position";"Name";"Salary";"GameInfo";"AvgPointsPerGame";"Team";"Opponent";"Projection";"Actual_fpts";"Consistency";"Unpredictability"
"0";"0";"PG";"Russell Westbrook";"11000";"UTA@OKC 12/05/2017 08:00PM ET";"52.636";"OKC";"UTA";"54.98";"77.25";"11.138088594721253";"5.494335999999972"
"1";"1";"PG";"Damian Lillard";"9400";"WAS@POR 12/05/2017 10:00PM ET";"44.283";"POR";"WAS";"43.21";"53.0";"10.402832041020572";"1.151329000000001"
"2";"3";"SF";"Paul George";"8400";"UTA@OKC 12/05/2017 08:00PM ET";"39.773";"OKC";"UTA";"38.69";"28.25";"13.155808314112091";"1.1728890000000118"
"3";"4";"SG";"Bradley Beal";"7600";"WAS@POR 12/05/2017 10:00PM ET";"36.5";"WAS";"POR";"37.55";"59.25";"10.087663996797312";"1.102499999999994"
"4";"5";"C";"Rudy Gobert";"7300";"UTA@OKC 12/05/2017 08:00PM ET";"35.042";"UTA";"OKC";"25.3";"16.0";"10.528550649917527";"94.90656400000002"
"5";"6";"C";"Jusuf Nurkic";"7200";"WAS@POR 12/05/2017 10:00PM ET";"30.576";"POR";"WAS";"34.89";"34.25";"12.619657546025069";"18.610596"
"6";"7";"PG/SG";"Donovan Mitchell";"7100";"UTA@OKC 12/05/2017 08:00PM ET";"28.783";"UTA";"OKC";"32.51";"48.25";"11.23003345123199";"13.890528999999976"
"7";"8";"PG/SG";"CJ McCollum";"7000";"WAS@POR 12/05/2017 10:00PM ET";"33.466";"POR";"WAS";"31.21";"28.0";"8.137366881619744";"5.089536000000001"
"8";"9";"PF/C";"Derrick Favors";"6600";"UTA@OKC 12/05/2017 08:00PM ET";"27.609";"UTA";"OKC";"31.15";"18.5";"10.445748001736852";"12.538680999999977"
"9";"10";"SF/PF";"Carmelo Anthony";"6500";"UTA@OKC 12/05/2017 08:00PM ET";"32.333";"OKC";"UTA";"28.86";"31.5";"6.227459353540575";"12.061728999999993"
"10";"11";"C";"Steven Adams";"5900";"UTA@OKC 12/05/2017 08:00PM ET";"29.237";"OKC";"UTA";"27.34";"33.75";"9.775820511172787";"3.5986089999999944"
"11";"13";"PG";"Ricky Rubio";"5400";"UTA@OKC 12/05/2017 08:00PM ET";"27.534";"UTA";"OKC";"24.08";"22.0";"11.235663379567196";"11.930116000000003"
"12";"14";"C";"Marcin Gortat";"5200";"WAS@POR 12/05/2017 10:00PM ET";"25.943";"WAS";"POR";"20.74";"26.75";"9.45033570986977";"27.07120900000003"
"13";"15";"SG/SF";"Joe Ingles";"4900";"UTA@OKC 12/05/2017 08:00PM ET";"24.696";"UTA";"OKC";"24.85";"30.0";"7.892065885898853";"0.023715999999999973"
"14";"16";"SF/PF";"Markieff Morris";"4700";"WAS@POR 12/05/2017 10:00PM ET";"19.3";"WAS";"POR";"20.66";"22.5";"6.193035861499445";"1.8495999999999984"
"15";"17";"PG/SG";"Alec Burks";"4500";"UTA@OKC 12/05/2017 08:00PM ET";"16.659000000000002";"UTA";"OKC";"23.61";"21.0";"7.422307139619986";"48.316400999999956"
"16";"18";"SF/PF";"Al-Farouq Aminu";"4200";"WAS@POR 12/05/2017 10:00PM ET";"21.932";"POR";"WAS";"20.45";"27.0";"10.160706439866416";"2.196323999999998"
"17";"19";"PG/SG";"Tomas Satoransky";"4100";"WAS@POR 12/05/2017 10:00PM ET";"12.173";"WAS";"POR";"18.2";"17.0";"5.061771209544912";"36.32472899999999"
"18";"20";"PF/C";"Noah Vonleh";"4000";"WAS@POR 12/05/2017 10:00PM ET";"17.563";"POR";"WAS";"12.31";"9.5";"9.567992180127154";"27.594008999999982"
"19";"21";"SG/SF";"Evan Turner";"3900";"WAS@POR 12/05/2017 10:00PM ET";"17.837";"POR";"WAS";"14.67";"5.75";"8.168809019035375";"10.029888999999999"
"20";"22";"PG";"Tim Frazier";"3900";"WAS@POR 12/05/2017 10:00PM ET";"14.034";"WAS";"POR";"18.89";"21.75";"6.3902680942030505";"23.580735999999998"
"21";"23";"SF/PF";"Jonas Jerebko";"3800";"UTA@OKC 12/05/2017 08:00PM ET";"13.708";"UTA";"OKC";"9.32";"13.0";"7.813839628735014";"19.254544"
