"";"Unnamed: 0";"Position";"Name";"Salary";"GameInfo";"AvgPointsPerGame";"Team";"Opponent";"Projection";"Actual_fpts";"Consistency";"Unpredictability"
"0";"0";"PG";"Russell Westbrook";"11400";"MIN@OKC 12/01/2017 08:00PM ET";"52.76300000000001";"OKC";"MIN";"57.07";"49.25";"11.138088594721253";"18.550248999999898"
"1";"1";"PF/C";"DeMarcus Cousins";"10900";"NO@UTA 12/01/2017 09:00PM ET";"55.048";"NO";"UTA";"51.89";"49.25";"13.334240648953747";"9.972964000000008"
"2";"2";"PF/C";"Anthony Davis";"10400";"NO@UTA 12/01/2017 09:00PM ET";"49.475";"NO";"UTA";"48.46";"39.5";"15.97814662564602";"1.030225000000001"
"3";"3";"C";"Karl-Anthony Towns";"8600";"MIN@OKC 12/01/2017 08:00PM ET";"41.716";"MIN";"OKC";"41.1";"39.75";"11.22303786625388";"0.37945599999999957"
"4";"4";"PF/C";"LaMarcus Aldridge";"8500";"SA@MEM 12/01/2017 08:00PM ET";"40.69";"SA";"MEM";"38.58";"32.0";"8.77361058459164";"4.452099999999998"
"5";"5";"SF";"Paul George";"8200";"MIN@OKC 12/01/2017 08:00PM ET";"39.475";"OKC";"MIN";"40.52";"62.0";"13.155808314112091";"1.0920250000000036"
"6";"6";"C";"Marc Gasol";"7800";"SA@MEM 12/01/2017 08:00PM ET";"40.225";"MEM";"SA";"37.12";"45.25";"11.228390551898565";"9.641025000000024"
"7";"9";"C";"Dwight Howard";"7500";"CHA@MIA 12/01/2017 08:00PM ET";"35.925";"CHA";"MIA";"37.78";"18.75";"11.561698842166713";"3.441025000000015"
"8";"11";"SG";"Jimmy Butler";"7300";"MIN@OKC 12/01/2017 08:00PM ET";"34.875";"MIN";"OKC";"34.68";"45.25";"9.690808258648108";"0.038025000000000114"
"9";"12";"PG";"Goran Dragic";"7000";"CHA@MIA 12/01/2017 08:00PM ET";"31.345";"MIA";"CHA";"30.89";"17.0";"6.377729893660534";"0.20702499999999846"
