"";"Unnamed: 0";"Position";"Name";"Salary";"GameInfo";"AvgPointsPerGame";"Team";"Opponent";"Projection";"Actual_fpts";"Consistency";"Unpredictability"
"0";"0";"PG/SG";"Stephen Curry";"9600";"GS@LAL 11/29/2017 10:30PM ET";"46.355";"GS";"LAL";"50.26";"43.75";"8.590952162847113";"15.249025000000008"
"1";"1";"SF/PF";"Kevin Durant";"9300";"GS@LAL 11/29/2017 10:30PM ET";"45.719";"GS";"LAL";"46.35";"47.75";"7.437499999999999";"0.39816100000000026"
"2";"2";"C";"Marc Gasol";"8300";"MEM@SA 11/29/2017 08:30PM ET";"40.921";"MEM";"SA";"42.17";"27.0";"11.228390551898565";"1.5600010000000057"
"3";"3";"PF/C";"LaMarcus Aldridge";"8100";"MEM@SA 11/29/2017 08:30PM ET";"40.075";"SA";"MEM";"37.16";"53.0";"8.77361058459164";"8.497225000000036"
"4";"4";"SG";"Klay Thompson";"7400";"GS@LAL 11/29/2017 10:30PM ET";"33.452";"GS";"LAL";"33.88";"28.75";"8.158896903639029";"0.18318400000000376"
"5";"5";"PF/C";"Draymond Green";"7300";"GS@LAL 11/29/2017 10:30PM ET";"34.075";"GS";"LAL";"35.43";"50.25";"7.8453854653175075";"1.8360249999999916"
"6";"7";"PG/SG";"Spencer Dinwiddie";"6900";"BKN@DAL 11/29/2017 08:30PM ET";"26.3";"BKN";"DAL";"33.3";"34.25";"11.934735376066447";"48.99999999999995"
"7";"8";"PG";"Lonzo Ball";"6800";"GS@LAL 11/29/2017 10:30PM ET";"32.85";"LAL";"GS";"30.69";"36.5";"14.259756073469624";"4.6656"
"8";"9";"SG/SF";"Tyreke Evans";"6600";"MEM@SA 11/29/2017 08:30PM ET";"32.066";"MEM";"SA";"35.92";"32.75";"8.791900512396795";"14.853315999999994"
"9";"11";"PF/C";"Pau Gasol";"6200";"MEM@SA 11/29/2017 08:30PM ET";"30.038";"SA";"MEM";"27.65";"19.0";"8.596629966657034";"5.702544000000008"
"10";"12";"SF/PF";"Harrison Barnes";"6100";"BKN@DAL 11/29/2017 08:30PM ET";"32.25";"DAL";"BKN";"35.64";"39.5";"7.8831411552555775";"11.492100000000004"
"11";"14";"SG/SF";"Brandon Ingram";"6000";"GS@LAL 11/29/2017 10:30PM ET";"28.5";"LAL";"GS";"26.69";"50.25";"10.137667153819828";"3.2760999999999956"
"12";"16";"SG";"Kentavious Caldwell-Pope";"5800";"GS@LAL 11/29/2017 10:30PM ET";"28.444000000000006";"LAL";"GS";"28.97";"31.75";"7.933199970043986";"0.2766759999999923"
"13";"17";"SF/PF";"DeMarre Carroll";"5800";"BKN@DAL 11/29/2017 08:30PM ET";"28.486";"BKN";"DAL";"31.26";"33.25";"7.534845523222327";"7.695076000000005"
"14";"19";"PG/SF";"Kyle Anderson";"5300";"MEM@SA 11/29/2017 08:30PM ET";"25.425";"SA";"MEM";"25.71";"25.5";"7.664807173428954";"0.08122500000000007"
"15";"20";"C";"Brook Lopez";"5200";"GS@LAL 11/29/2017 10:30PM ET";"26.638";"LAL";"GS";"20.85";"11.75";"12.705546861612515";"33.500944000000004"
"16";"21";"PF/C";"Julius Randle";"5100";"GS@LAL 11/29/2017 10:30PM ET";"24.763";"LAL";"GS";"24.76";"29.5";"7.705896959680707";"9.000000000000683e-06"
"17";"22";"PF/C";"Trevor Booker";"4900";"BKN@DAL 11/29/2017 08:30PM ET";"22.833";"BKN";"DAL";"25.89";"31.5";"9.643882220647154";"9.345249000000013"
"18";"24";"SF/PF";"Rudy Gay";"4900";"MEM@SA 11/29/2017 08:30PM ET";"23.211";"SA";"MEM";"20.35";"20.25";"8.42213648909442";"8.185320999999984"
"19";"25";"PG/SG";"Jordan Clarkson";"4800";"GS@LAL 11/29/2017 10:30PM ET";"23.863000000000003";"LAL";"GS";"24.72";"41.0";"8.847596891825141";"0.7344489999999927"
"20";"26";"PF/C";"Dirk Nowitzki";"4800";"BKN@DAL 11/29/2017 08:30PM ET";"22.976";"DAL";"BKN";"26.03";"21.25";"8.205782620874906";"9.326916000000013"
"21";"27";"SG/SF";"Wesley Matthews";"4600";"BKN@DAL 11/29/2017 08:30PM ET";"23.429";"DAL";"BKN";"27.86";"15.25";"11.090566166555105";"19.633761000000007"
"22";"28";"SG/SF";"Caris LeVert";"4600";"BKN@DAL 11/29/2017 08:30PM ET";"22.488000000000003";"BKN";"DAL";"28.45";"31.0";"5.435157373297909";"35.545443999999954"
"23";"29";"SG/SF";"Danny Green";"4500";"MEM@SA 11/29/2017 08:30PM ET";"23.145";"SA";"MEM";"20.2";"17.0";"10.653714562861543";"8.673025"
"24";"30";"SF/PF";"JaMychal Green";"4400";"MEM@SA 11/29/2017 08:30PM ET";"19.357";"MEM";"SA";"24.73";"23.5";"8.173527244650721";"28.86912900000001"
"25";"31";"SG/SF";"Joe Harris";"4300";"BKN@DAL 11/29/2017 08:30PM ET";"18.092";"BKN";"DAL";"21.41";"19.5";"7.816275231638919";"11.009124000000009"
"26";"35";"SG/SF";"Andre Iguodala";"3900";"GS@LAL 11/29/2017 10:30PM ET";"17.382";"GS";"LAL";"16.39";"16.0";"4.83284733864963";"0.9840640000000017"
"27";"36";"SG/SF";"Dillon Brooks";"3900";"MEM@SA 11/29/2017 08:30PM ET";"18.145";"MEM";"SA";"18.63";"13.0";"8.546976312917174";"0.23522499999999946"
"28";"37";"PG/SG";"Yogi Ferrell";"3800";"BKN@DAL 11/29/2017 08:30PM ET";"17.214000000000002";"DAL";"BKN";"15.74";"17.75";"7.206813296786373";"2.172676000000006"
"29";"38";"PG";"Dejounte Murray";"3800";"MEM@SA 11/29/2017 08:30PM ET";"18.838";"SA";"MEM";"4.33";"3.0";"10.388488202549153";"210.48206400000004"
"30";"39";"PG/SG";"Shaun Livingston";"3700";"GS@LAL 11/29/2017 10:30PM ET";"11.763";"GS";"LAL";"10.55";"7.25";"5.9574505722046425";"1.471368999999998"
"31";"40";"PG/SG";"Devin Harris";"3700";"BKN@DAL 11/29/2017 08:30PM ET";"15.6";"DAL";"BKN";"16.1";"21.5";"6.72160286352482";"0.2500000000000018"
"32";"41";"SG/SF";"Manu Ginobili";"3700";"MEM@SA 11/29/2017 08:30PM ET";"14.985";"SA";"MEM";"15.49";"10.25";"7.1401884895755146";"0.2550250000000008"
"33";"42";"PG/SG";"Bryn Forbes";"3700";"MEM@SA 11/29/2017 08:30PM ET";"10.25";"SA";"MEM";"10.17";"10.75";"8.141075725638979";"0.006400000000000012"
"34";"44";"PG/SG";"Sean Kilpatrick";"3600";"BKN@DAL 11/29/2017 08:30PM ET";"9.327";"BKN";"DAL";"18.73";"9.25";"5.392413652530748";"88.41640900000002"
"35";"48";"PF/C";"Dwight Powell";"3500";"BKN@DAL 11/29/2017 08:30PM ET";"14.563";"DAL";"BKN";"16.59";"30.75";"6.083501206386383";"4.108728999999997"
"36";"49";"PG/SG";"Isaiah Whitehead";"3500";"BKN@DAL 11/29/2017 08:30PM ET";"13.167";"BKN";"DAL";"12.27";"9.25";"9.587752604234216";"0.8046090000000005"
"37";"50";"SG/SF";"Ben McLemore";"3500";"MEM@SA 11/29/2017 08:30PM ET";"11.156";"MEM";"SA";"16.05";"17.75";"2.4724674392386317";"23.951236"
"38";"52";"C";"Tyler Zeller";"3400";"BKN@DAL 11/29/2017 08:30PM ET";"14.938";"BKN";"DAL";"14.62";"26.25";"6.626650737740749";"0.10112400000000088"
"39";"53";"PF/C";"Jarrett Allen";"3400";"BKN@DAL 11/29/2017 08:30PM ET";"11.896";"BKN";"DAL";"13.05";"15.5";"6.319971950455593";"1.331716"
"40";"54";"PF/C";"Jarell Martin";"3400";"MEM@SA 11/29/2017 08:30PM ET";"12.278";"MEM";"SA";"11.35";"9.5";"7.177317666711493";"0.8611840000000015"
"41";"55";"PG/SG";"Andrew Harrison";"3400";"MEM@SA 11/29/2017 08:30PM ET";"8.808";"MEM";"SA";"17.02";"24.0";"3.857539238213783";"67.436944"
"42";"56";"SG";"Nick Young";"3300";"GS@LAL 11/29/2017 10:30PM ET";"11.213";"GS";"LAL";"8.3";"11.5";"9.672414725271402";"8.485568999999991"
"43";"57";"PF/C";"Quincy Acy";"3300";"BKN@DAL 11/29/2017 08:30PM ET";"13.117";"BKN";"DAL";"10.66";"13.75";"4.297208715812247";"6.036849000000004"
"44";"59";"PF/C";"Jordan Bell";"3200";"GS@LAL 11/29/2017 10:30PM ET";"10.767";"GS";"LAL";"11.05";"15.5";"8.885817969608144";"0.0800890000000007"
"45";"62";"PF";"Maxi Kleber";"3200";"BKN@DAL 11/29/2017 08:30PM ET";"8.117";"DAL";"BKN";"10.19";"27.25";"5.1314452904840335";"4.297328999999994"
"46";"63";"PF/C";"Deyonta Davis";"3200";"MEM@SA 11/29/2017 08:30PM ET";"10.536";"MEM";"SA";"10.9";"4.5";"7.846746368491122";"0.13249600000000056"
"47";"64";"C";"Zaza Pachulia";"3100";"GS@LAL 11/29/2017 10:30PM ET";"14.25";"GS";"LAL";"15.7";"23.0";"5.9490158407659495";"2.102499999999998"
"48";"65";"C";"Salah Mejri";"3100";"BKN@DAL 11/29/2017 08:30PM ET";"14.734000000000002";"DAL";"BKN";"14.21";"2.5";"9.849613238720645";"0.27457600000000093"
"49";"67";"C";"Andrew Bogut";"3000";"GS@LAL 11/29/2017 10:30PM ET";"7.404";"LAL";"GS";"3.75";"6.0";"6.882372080507232";"13.351716"
"50";"68";"SG/SF";"Corey Brewer";"3000";"GS@LAL 11/29/2017 10:30PM ET";"8.1";"LAL";"GS";"5.59";"3.5";"5.760161374851184";"6.300099999999999"
"52";"73";"PG/SG";"Josh Hart";"3000";"GS@LAL 11/29/2017 10:30PM ET";"7.8";"LAL";"GS";"7.46";"9.25";"4.383206588788624";"0.1155999999999999"
"53";"75";"SF/PF";"Kevon Looney";"3000";"GS@LAL 11/29/2017 10:30PM ET";"10.482";"GS";"LAL";"6.13";"11.0";"5.131370763167569";"18.939903999999995"
